price,total_volume,buy_volume,sell_volume,buy_value,sell_value,node_type
91299.90000000,16.98700000,9.61500000,7.37200000,877849.50000000,673063.60000000,HIGH_VOLUME_NODE
91308.10000000,17.63700000,1.30600000,16.33100000,119248.38100000,1491154.17630000,HIGH_VOLUME_NODE
91314.90000000,13.31200000,1.20300000,12.10900000,109851.94500000,1105733.33500000,HIGH_VOLUME_NODE
91315.10000000,15.19000000,6.46000000,8.73000000,589895.91610000,797180.87620000,HIGH_VOLUME_NODE
91335.10000000,18.94000000,2.41900000,16.52100000,220939.84260000,1508947.19380000,HIGH_VOLUME_NODE
91347.20000000,15.00200000,7.41500000,7.58700000,677340.22950000,693051.96510000,HIGH_VOLUME_NODE
91350.30000000,13.31200000,1.68500000,11.62700000,153925.42400000,1062131.10080000,HIGH_VOLUME_NODE
91362.10000000,12.56800000,7.68800000,4.88000000,702392.54700000,445847.08830000,HIGH_VOLUME_NODE
91362.70000000,17.76000000,0.99500000,16.76500000,90905.98600000,1531697.34200000,HIGH_VOLUME_NODE
91371.60000000,20.59000000,8.78200000,11.80800000,802425.45500000,1078916.87650000,HIGH_VOLUME_NODE
91384.90000000,13.06800000,4.28200000,8.78600000,391310.57000000,802908.61000000,HIGH_VOLUME_NODE
91389.60000000,15.76900000,12.77900000,2.99000000,1167867.72000000,273254.90570000,HIGH_VOLUME_NODE
91400.10000000,12.37900000,5.12000000,7.25900000,467968.77360000,663473.35190000,HIGH_VOLUME_NODE
91439.60000000,15.49600000,0.74200000,14.75400000,67848.21940000,1349101.31410000,HIGH_VOLUME_NODE
91442.30000000,14.98100000,3.87000000,11.11100000,353882.08800000,1016016.50640000,HIGH_VOLUME_NODE
91459.60000000,14.64800000,10.26400000,4.38400000,938742.19530000,400959.00170000,HIGH_VOLUME_NODE
91461.90000000,18.64100000,8.68900000,9.95200000,794713.31800000,910229.82400000,HIGH_VOLUME_NODE
91464.60000000,13.04900000,9.29400000,3.75500000,850072.90380000,343449.87070000,HIGH_VOLUME_NODE
91468.60000000,12.46900000,11.24300000,1.22600000,1028382.36080000,112140.58660000,HIGH_VOLUME_NODE
91468.90000000,15.24600000,0.03200000,15.21400000,2927.00800000,1391609.36600000,HIGH_VOLUME_NODE
91497.20000000,12.87200000,1.46700000,11.40500000,134226.53910000,1043526.70650000,HIGH_VOLUME_NODE
91499.90000000,16.42800000,11.06700000,5.36100000,1012630.50000000,490531.50000000,HIGH_VOLUME_NODE
91506.60000000,12.29800000,10.11200000,2.18600000,925315.70760000,200033.44460000,HIGH_VOLUME_NODE
91529.40000000,13.28900000,2.62400000,10.66500000,240173.40800000,976162.11750000,HIGH_VOLUME_NODE
91534.60000000,17.13400000,16.35700000,0.77700000,1497232.23270000,71122.39290000,HIGH_VOLUME_NODE
91540.80000000,13.26400000,11.55900000,1.70500000,1058121.26310000,156077.23450000,HIGH_VOLUME_NODE
91542.60000000,12.80900000,12.29900000,0.51000000,1125882.48650000,46686.77140000,HIGH_VOLUME_NODE
91550.10000000,15.30000000,11.28600000,4.01400000,1033234.66150000,367482.10730000,HIGH_VOLUME_NODE
91574.90000000,14.16000000,0.32500000,13.83500000,29761.87500000,1266940.12500000,HIGH_VOLUME_NODE
91575.10000000,15.83700000,10.75800000,5.07900000,985165.48180000,465109.94810000,HIGH_VOLUME_NODE
91578.40000000,14.51400000,14.51100000,0.00300000,1328895.61350000,274.73550000,HIGH_VOLUME_NODE
91599.90000000,17.01000000,12.33300000,4.67700000,1129702.80000000,428413.20000000,HIGH_VOLUME_NODE
91619.20000000,16.43800000,0.28200000,16.15600000,25836.64260000,1480201.41080000,HIGH_VOLUME_NODE
91649.90000000,18.31900000,6.03700000,12.28200000,553291.05000000,1125645.30000000,HIGH_VOLUME_NODE
91650.10000000,15.09100000,10.71600000,4.37500000,982122.70190000,400969.21200000,HIGH_VOLUME_NODE
91662.10000000,21.80300000,0.10600000,21.69700000,9716.18840000,1988792.59440000,HIGH_VOLUME_NODE
91687.90000000,14.18400000,0.96600000,13.21800000,88570.60800000,1211931.98400000,HIGH_VOLUME_NODE
91689.90000000,21.40800000,0.90800000,20.50000000,83254.52000000,1879645.00000000,HIGH_VOLUME_NODE
91695.10000000,12.39500000,7.26200000,5.13300000,665890.53920000,470670.99310000,HIGH_VOLUME_NODE
91698.60000000,17.45100000,3.24200000,14.20900000,297287.08250000,1302946.76780000,HIGH_VOLUME_NODE
91699.90000000,43.77300000,35.74400000,8.02900000,3277724.80000000,736259.30000000,HIGH_VOLUME_NODE
91702.60000000,13.11300000,9.57600000,3.53700000,878144.29590000,324352.44570000,HIGH_VOLUME_NODE
91705.30000000,12.56300000,0.12300000,12.44000000,11279.76420000,1140815.17600000,HIGH_VOLUME_NODE
91705.60000000,30.93300000,0.77100000,30.16200000,70705.08100000,2766026.04020000,HIGH_VOLUME_NODE
91706.10000000,26.88100000,2.45700000,24.42400000,225322.13040000,2239830.15930000,HIGH_VOLUME_NODE
91710.80000000,12.96300000,12.77700000,0.18600000,1171790.16930000,17058.22740000,HIGH_VOLUME_NODE
91718.10000000,17.59000000,3.62300000,13.96700000,332294.69130000,1281027.06730000,HIGH_VOLUME_NODE
91721.60000000,13.03100000,7.65400000,5.37700000,702037.41040000,493187.24290000,HIGH_VOLUME_NODE
91722.10000000,14.60700000,13.28200000,1.32500000,1218252.95000000,121531.89980000,HIGH_VOLUME_NODE
91722.60000000,19.44400000,12.21200000,7.23200000,1120117.35440000,663337.93980000,HIGH_VOLUME_NODE
91723.10000000,16.34000000,4.34700000,11.99300000,398720.70770000,1100035.88180000,HIGH_VOLUME_NODE
91723.20000000,30.39100000,21.68900000,8.70200000,1989386.65370000,798176.15660000,HIGH_VOLUME_NODE
91723.40000000,17.96900000,11.51200000,6.45700000,1055920.93200000,592258.63950000,HIGH_VOLUME_NODE
91728.60000000,12.34900000,2.25200000,10.09700000,206572.96130000,926183.87960000,HIGH_VOLUME_NODE
91732.60000000,15.38900000,0.14000000,15.24900000,12842.57540000,1398830.41970000,HIGH_VOLUME_NODE
91736.60000000,16.68000000,0.07800000,16.60200000,7155.46080000,1523012.42100000,HIGH_VOLUME_NODE
91737.30000000,13.21800000,6.35900000,6.85900000,583358.12660000,629226.82660000,HIGH_VOLUME_NODE
91737.60000000,24.30100000,20.52800000,3.77300000,1883190.32100000,346126.03030000,HIGH_VOLUME_NODE
91743.60000000,13.98500000,4.65900000,9.32600000,427433.78910000,855600.84940000,HIGH_VOLUME_NODE
91749.90000000,25.40400000,9.13100000,16.27300000,837769.25000000,1493047.75000000,HIGH_VOLUME_NODE
91752.60000000,17.27000000,4.14700000,13.12300000,380498.43980000,1204069.65530000,HIGH_VOLUME_NODE
91753.10000000,12.79000000,1.23200000,11.55800000,113039.83160000,1060483.39110000,HIGH_VOLUME_NODE
91753.60000000,14.50100000,9.82800000,4.67300000,901754.58730000,428764.94910000,HIGH_VOLUME_NODE
91754.10000000,12.23500000,0.75700000,11.47800000,69457.90720000,1053153.63570000,HIGH_VOLUME_NODE
91757.10000000,23.74200000,15.26000000,8.48200000,1400214.71320000,778284.10660000,HIGH_VOLUME_NODE
91764.30000000,16.69000000,10.05500000,6.63500000,922691.04200000,608856.79400000,HIGH_VOLUME_NODE
91767.80000000,13.69600000,0.03800000,13.65800000,3487.18020000,1253365.97820000,HIGH_VOLUME_NODE
91767.90000000,14.80700000,1.30500000,13.50200000,119757.24000000,1239051.53600000,HIGH_VOLUME_NODE
91769.90000000,14.17300000,1.35200000,12.82100000,124073.04000000,1176583.17000000,HIGH_VOLUME_NODE
91770.10000000,14.25100000,9.34100000,4.91000000,857224.56940000,450591.29780000,HIGH_VOLUME_NODE
91772.10000000,13.48000000,0.30000000,13.18000000,27531.64940000,1209557.42270000,HIGH_VOLUME_NODE
91774.60000000,21.84300000,13.23700000,8.60600000,1214821.07890000,789812.53520000,HIGH_VOLUME_NODE
91780.90000000,25.05000000,0.05700000,24.99300000,5231.51700000,2293882.53300000,HIGH_VOLUME_NODE
91781.90000000,13.54800000,6.52100000,7.02700000,598510.42200000,644952.11400000,HIGH_VOLUME_NODE
91787.90000000,23.17500000,14.48300000,8.69200000,1329365.60400000,797821.29600000,HIGH_VOLUME_NODE
91790.10000000,15.84800000,10.54500000,5.30300000,967926.69680000,486763.01050000,HIGH_VOLUME_NODE
91791.10000000,17.55100000,7.25000000,10.30100000,665485.66270000,945540.93790000,HIGH_VOLUME_NODE
91791.90000000,19.29500000,16.67100000,2.62400000,1530264.43200000,240862.20800000,HIGH_VOLUME_NODE
91793.10000000,14.58300000,3.82000000,10.76300000,350650.01730000,987970.05490000,HIGH_VOLUME_NODE
91793.20000000,16.58400000,12.27400000,4.31000000,1126670.96420000,395629.12300000,HIGH_VOLUME_NODE
91794.80000000,16.96400000,9.10000000,7.86400000,835333.59000000,721875.09360000,HIGH_VOLUME_NODE
91797.60000000,41.38600000,6.23800000,35.14800000,572633.92950000,3226502.11000000,HIGH_VOLUME_NODE
91798.10000000,25.95600000,7.93000000,18.02600000,727959.46710000,1654753.49050000,HIGH_VOLUME_NODE
91799.80000000,18.46400000,4.10800000,14.35600000,377113.98920000,1317879.36440000,HIGH_VOLUME_NODE
91799.90000000,457.84000000,232.47700000,225.36300000,21341388.60000000,20688323.40000000,HIGH_VOLUME_NODE
91800.10000000,28.38000000,22.10100000,6.27900000,2028874.01750000,576412.85960000,HIGH_VOLUME_NODE
