price,total_volume,buy_volume,sell_volume,buy_value,sell_value,node_type
90963.20000000,0.02000000,0.01600000,0.00400000,1455.41280000,363.85320000,LOW_VOLUME_NODE
90963.30000000,0.02200000,0.00600000,0.01600000,545.78040000,1455.41440000,LOW_VOLUME_NODE
90963.40000000,0.00700000,0.00000000,0.00700000,0.00000000,636.74450000,LOW_VOLUME_NODE
90963.60000000,0.14000000,0.01200000,0.12800000,1091.56380000,11643.34170000,LOW_VOLUME_NODE
90963.70000000,0.00700000,0.00500000,0.00200000,454.81900000,181.92760000,LOW_VOLUME_NODE
90963.80000000,0.03300000,0.02700000,0.00600000,2456.02530000,545.78340000,LOW_VOLUME_NODE
90963.90000000,0.00800000,0.00200000,0.00600000,181.92800000,545.78400000,LOW_VOLUME_NODE
90964.10000000,0.14800000,0.00300000,0.14500000,272.89230000,13189.80880000,LOW_VOLUME_NODE
90964.20000000,0.02000000,0.00300000,0.01700000,272.89290000,1546.39310000,LOW_VOLUME_NODE
90964.30000000,0.05600000,0.00300000,0.05300000,272.89320000,4821.11320000,LOW_VOLUME_NODE
90964.70000000,0.00500000,0.00300000,0.00200000,272.89440000,181.92960000,LOW_VOLUME_NODE
90964.80000000,0.00800000,0.00500000,0.00300000,454.82450000,272.89470000,LOW_VOLUME_NODE
90964.90000000,0.39800000,0.38300000,0.01500000,34839.59500000,1364.47500000,LOW_VOLUME_NODE
90965.20000000,0.00500000,0.00300000,0.00200000,272.89590000,181.93060000,LOW_VOLUME_NODE
90965.30000000,0.00900000,0.00300000,0.00600000,272.89620000,545.79240000,LOW_VOLUME_NODE
90965.40000000,0.09300000,0.00000000,0.09300000,0.00000000,8459.79150000,LOW_VOLUME_NODE
90965.70000000,0.01000000,0.00000000,0.01000000,0.00000000,909.65800000,LOW_VOLUME_NODE
90965.80000000,0.00800000,0.00600000,0.00200000,545.79540000,181.93180000,LOW_VOLUME_NODE
90965.90000000,0.02100000,0.00400000,0.01700000,363.86400000,1546.42200000,LOW_VOLUME_NODE
90966.10000000,0.03000000,0.01300000,0.01700000,1182.56000000,1546.42400000,LOW_VOLUME_NODE
90966.20000000,0.00700000,0.00300000,0.00400000,272.89890000,363.86520000,LOW_VOLUME_NODE
90966.30000000,0.21600000,0.00500000,0.21100000,454.83200000,19193.91040000,LOW_VOLUME_NODE
90966.40000000,0.00500000,0.00000000,0.00500000,0.00000000,454.83250000,LOW_VOLUME_NODE
90966.60000000,0.30200000,0.29200000,0.01000000,26562.24740000,909.66700000,LOW_VOLUME_NODE
90966.70000000,0.00300000,0.00300000,0.00000000,272.90040000,0.00000000,LOW_VOLUME_NODE
90966.80000000,0.01400000,0.00300000,0.01100000,272.90070000,1000.63590000,LOW_VOLUME_NODE
90966.90000000,0.09800000,0.00500000,0.09300000,454.83500000,8459.93100000,LOW_VOLUME_NODE
90967.20000000,0.18400000,0.18100000,0.00300000,16465.08130000,272.90190000,LOW_VOLUME_NODE
90967.40000000,0.33900000,0.31800000,0.02100000,28927.66500000,1910.31750000,LOW_VOLUME_NODE
90967.60000000,0.09000000,0.01100000,0.07900000,1000.64390000,7186.44200000,LOW_VOLUME_NODE
90967.80000000,0.04400000,0.01400000,0.03000000,1273.55060000,2729.03700000,LOW_VOLUME_NODE
90967.90000000,0.03000000,0.00500000,0.02500000,454.84000000,2274.20000000,LOW_VOLUME_NODE
90968.10000000,0.02100000,0.01300000,0.00800000,1182.58660000,727.74510000,LOW_VOLUME_NODE
90968.20000000,0.16500000,0.00000000,0.16500000,0.00000000,15009.76950000,LOW_VOLUME_NODE
90968.30000000,0.01100000,0.00600000,0.00500000,545.81040000,454.84200000,LOW_VOLUME_NODE
90968.40000000,0.01000000,0.00300000,0.00700000,272.90550000,636.77950000,LOW_VOLUME_NODE
90968.60000000,0.07700000,0.01200000,0.06500000,1091.62440000,5912.96440000,LOW_VOLUME_NODE
90968.70000000,0.14600000,0.00000000,0.14600000,0.00000000,13281.44480000,LOW_VOLUME_NODE
90968.80000000,0.02500000,0.02000000,0.00500000,1819.37800000,454.84450000,LOW_VOLUME_NODE
90968.90000000,0.15400000,0.04900000,0.10500000,4457.48100000,9551.74500000,LOW_VOLUME_NODE
90969.20000000,0.06000000,0.02100000,0.03900000,1910.35530000,3547.80270000,LOW_VOLUME_NODE
90969.60000000,0.12400000,0.07800000,0.04600000,7095.63580000,4184.60240000,LOW_VOLUME_NODE
90969.70000000,0.00600000,0.00300000,0.00300000,272.90940000,272.90940000,LOW_VOLUME_NODE
90969.80000000,0.04600000,0.03600000,0.01000000,3274.91640000,909.69900000,LOW_VOLUME_NODE
90970.10000000,0.10900000,0.01900000,0.09000000,1728.43360000,8187.31200000,LOW_VOLUME_NODE
90970.20000000,0.46800000,0.36300000,0.10500000,33022.21890000,9551.88150000,LOW_VOLUME_NODE
90970.30000000,0.04400000,0.01700000,0.02700000,1546.49680000,2456.20080000,LOW_VOLUME_NODE
90970.40000000,0.05800000,0.04500000,0.01300000,4093.67250000,1182.61650000,LOW_VOLUME_NODE
90970.70000000,0.23400000,0.00800000,0.22600000,727.76640000,20559.40080000,LOW_VOLUME_NODE
90970.80000000,0.01800000,0.00700000,0.01100000,636.79630000,1000.67990000,LOW_VOLUME_NODE
90971.10000000,0.50800000,0.37800000,0.13000000,34387.07730000,11826.24400000,LOW_VOLUME_NODE
90971.30000000,0.04700000,0.01000000,0.03700000,909.71400000,3365.94180000,LOW_VOLUME_NODE
90971.40000000,0.00400000,0.00000000,0.00400000,0.00000000,363.88600000,LOW_VOLUME_NODE
90971.60000000,0.05200000,0.01000000,0.04200000,909.71680000,3820.80780000,LOW_VOLUME_NODE
90971.70000000,0.09700000,0.00300000,0.09400000,272.91540000,8551.34920000,LOW_VOLUME_NODE
90971.90000000,0.40100000,0.02900000,0.37200000,2638.18800000,33841.58400000,LOW_VOLUME_NODE
90972.10000000,0.03300000,0.02200000,0.01100000,2001.38790000,1000.69340000,LOW_VOLUME_NODE
90972.20000000,0.01500000,0.00500000,0.01000000,454.86150000,909.72300000,LOW_VOLUME_NODE
90972.70000000,0.11200000,0.00000000,0.11200000,0.00000000,10188.95360000,LOW_VOLUME_NODE
90972.80000000,0.05200000,0.00800000,0.04400000,727.78320000,4002.80760000,LOW_VOLUME_NODE
90972.90000000,0.06900000,0.00700000,0.06200000,636.81100000,5640.32600000,LOW_VOLUME_NODE
90973.20000000,0.04700000,0.00800000,0.03900000,727.78640000,3547.95870000,LOW_VOLUME_NODE
90973.30000000,0.00800000,0.00600000,0.00200000,545.84040000,181.94680000,LOW_VOLUME_NODE
90973.40000000,0.05900000,0.00400000,0.05500000,363.89400000,5003.54250000,LOW_VOLUME_NODE
90973.60000000,0.03500000,0.00700000,0.02800000,636.81560000,2547.26200000,LOW_VOLUME_NODE
90973.70000000,0.09800000,0.00000000,0.09800000,0.00000000,8915.43240000,LOW_VOLUME_NODE
90973.80000000,0.02300000,0.02100000,0.00200000,1910.45190000,181.94780000,LOW_VOLUME_NODE
90973.90000000,0.01300000,0.00600000,0.00700000,545.84400000,636.81800000,LOW_VOLUME_NODE
90974.20000000,0.36800000,0.22000000,0.14800000,20014.34600000,13464.19640000,LOW_VOLUME_NODE
90974.30000000,0.06500000,0.06100000,0.00400000,5549.43840000,363.89760000,LOW_VOLUME_NODE
90974.40000000,0.06900000,0.00300000,0.06600000,272.92350000,6004.31700000,LOW_VOLUME_NODE
