price,total_volume,buy_volume,sell_volume,buy_value,sell_value,delta,imbalance_ratio,buy_pressure
90961.80000000,2.88400000,0.81700000,2.06700000,74315.87230000,188018.24730000,-1.25000000,-0.43342580,0.28328710
90961.90000000,2.23500000,0.00000000,2.23500000,0.00000000,203300.07000000,-2.23500000,-1.00000000,0.00000000
90962.10000000,0.02300000,0.00000000,0.02300000,0.00000000,2092.12940000,-0.02300000,-0.99999996,0.00000000
90962.20000000,0.33100000,0.00000000,0.33100000,0.00000000,30108.52130000,-0.33100000,-1.00000000,0.00000000
90962.30000000,1.22200000,0.91000000,0.31200000,82775.78400000,28380.26880000,0.59800000,0.48936170,0.74468085
90962.40000000,0.02000000,0.00200000,0.01800000,181.92500000,1637.32500000,-0.01600000,-0.79999996,0.10000000
90962.60000000,0.00900000,0.00000000,0.00900000,0.00000000,818.66400000,-0.00900000,-0.99999989,0.00000000
90962.70000000,0.00400000,0.00000000,0.00400000,0.00000000,363.85120000,-0.00400000,-0.99999975,0.00000000
90962.80000000,0.08400000,0.00300000,0.08100000,272.88870000,7367.99490000,-0.07800000,-0.92857142,0.03571429
90962.90000000,0.18100000,0.09500000,0.08600000,8641.48500000,7822.81800000,0.00900000,0.04972376,0.52486188
90963.10000000,0.14000000,0.03600000,0.10400000,3274.67470000,9460.16400000,-0.06800000,-0.48571428,0.25714286
90963.20000000,0.02000000,0.01600000,0.00400000,1455.41280000,363.85320000,0.01200000,0.59999997,0.79999996
90963.30000000,0.02200000,0.00600000,0.01600000,545.78040000,1455.41440000,-0.01000000,-0.45454543,0.27272726
90963.40000000,0.00700000,0.00000000,0.00700000,0.00000000,636.74450000,-0.00700000,-0.99999986,0.00000000
90963.60000000,0.14000000,0.01200000,0.12800000,1091.56380000,11643.34170000,-0.11600000,-0.82857142,0.08571429
90963.70000000,0.00700000,0.00500000,0.00200000,454.81900000,181.92760000,0.00300000,0.42857137,0.71428561
90963.80000000,0.03300000,0.02700000,0.00600000,2456.02530000,545.78340000,0.02100000,0.63636362,0.81818179
90963.90000000,0.00800000,0.00200000,0.00600000,181.92800000,545.78400000,-0.00400000,-0.49999994,0.24999997
